                                                         Overall                                                    OH_adsorption                                                    OH_desorption                                                     CO_oxidation
configuration                    1                    0         0.0000000000000000E+00
        0.0000000000000000E+00         0.0000000000000000E+00         0.0000000000000000E+00         0.0000000000000000E+00
                             0                              0                              0                              0
configuration                    2                   53         5.0000000000000003E-02
        9.3888659223226464E-04         1.1977961086038845E-03         4.2246648166593265E-04         6.9064839552805310E-04
                            53                             27                              2                             24
configuration                    3                  118         1.0000000000000001E-01
        8.3431339561202387E-04         1.0995166732571632E-03         4.3040334971152416E-04         5.7654083769484909E-04
                           118                             59                              3                             56
configuration                    4                  175         1.5000000000000002E-01
        8.5160176370551116E-04         1.0245694875304094E-03         7.1960112841301660E-04         6.7457577388116039E-04
                           175                             88                              4                             83
configuration                    5                  242         2.0000000000000001E-01
        8.2261865459481098E-04         9.7789386959892485E-04         8.1301464435585918E-04         6.5557132575561549E-04
                           242                            122                              7                            113
configuration                    6                  351         2.5000000000000000E-01
        7.1127106709076586E-04         8.5167253346576141E-04         7.6156828497688693E-04         5.5469994416163773E-04
                           351                            176                             13                            162
configuration                    7                  479         2.9999999999999999E-01
        6.2553322634375803E-04         7.5043892647093857E-04         6.2509067410256925E-04         4.8697358368254953E-04
                           479                            243                             17                            219
configuration                    8                  622         3.4999999999999998E-01
        5.6173683760557395E-04         6.6489189178943757E-04         5.4173057083961183E-04         4.4882809564791441E-04
                           622                            313                             28                            281
configuration                    9                  799         3.9999999999999997E-01
        5.0057832163241309E-04         5.8649892999122235E-04         4.6513355335991329E-04         4.0747577432876086E-04
                           799                            402                             42                            355
configuration                   10                  985         4.4999999999999996E-01
        4.5654593796531982E-04         5.2551994304722419E-04         4.1422977897000152E-04         3.8201495277431389E-04
                           985                            499                             56                            430
configuration                   11                 1225         4.9999999999999994E-01
        4.0812581137915111E-04         4.6917296771468726E-04         3.2000674928797006E-04         3.5135805824206164E-04
                          1225                            615                             93                            517
configuration                   12                 1514         5.4999999999999993E-01
        3.6324978310393750E-04         4.1026387740342684E-04         2.7755315431556764E-04         3.2300936793703671E-04
                          1514                            767                            132                            615
configuration                   13                 1825         5.9999999999999998E-01
        3.2863765754732866E-04         3.6780900597043842E-04         2.5627780479163200E-04         2.9660111862973024E-04
                          1825                            923                            180                            722
configuration                   14                 2169         6.5000000000000002E-01
        2.9961195636758883E-04         3.3199865134713103E-04         2.3189975264703940E-04         2.7632255251858548E-04
                          2169                           1094                            234                            841
configuration                   15                 2516         7.0000000000000007E-01
        2.7815633854221000E-04         3.0506872184881746E-04         2.1435166184426523E-04         2.6197296119546216E-04
                          2516                           1273                            297                            946
configuration                   16                 2993         7.5000000000000011E-01
        2.5057530023151045E-04         2.7453646570852575E-04         1.8847187330019462E-04         2.3936700336075811E-04
                          2993                           1511                            385                           1097
configuration                   17                 3453         8.0000000000000016E-01
        2.3165786046372143E-04         2.5134647637880939E-04         1.7384969134708525E-04         2.2613244366826639E-04
                          3453                           1752                            480                           1221
configuration                   18                 3965         8.5000000000000020E-01
        2.1436085085964798E-04         2.3224312720264783E-04         1.6045530664593734E-04         2.1097983371645137E-04
                          3965                           2011                            581                           1373
configuration                   19                 4589         9.0000000000000024E-01
        1.9609849077781741E-04         2.1136005582301278E-04         1.4624049694845879E-04         1.9597285095496316E-04
                          4589                           2329                            709                           1551
configuration                   20                 5283         9.5000000000000029E-01
        1.7980689488717694E-04         1.9346923038005196E-04         1.3118215149022158E-04         1.8366272319709148E-04
                          5283                           2675                            888                           1720
configuration                   21                 6043         1.0000000000000002E+00
        1.6545594618882478E-04         1.7783557502882547E-04         1.2033408788155711E-04         1.7075258271761126E-04
                          6043                           3062                           1065                           1916
configuration                   22                 6839         1.0500000000000003E+00
        1.5353035210475993E-04         1.6461187090678582E-04         1.1039673332848555E-04         1.6126345785981848E-04
                          6839                           3468                           1268                           2103
configuration                   23                 7717         1.1000000000000003E+00
        1.4253572836869688E-04         1.5208496582173406E-04         1.0266476291560903E-04         1.5249045950411496E-04
                          7717                           3906                           1510                           2301
configuration                   24                 8573         1.1500000000000004E+00
        1.3414147449839476E-04         1.4289193331127781E-04         9.6371471026264477E-05         1.4562427955287834E-04
                          8573                           4339                           1758                           2476
configuration                   25                 9611         1.2000000000000004E+00
        1.2485682140248462E-04         1.3245875452398811E-04         8.9856084886826655E-05         1.3739254468062484E-04
                          9611                           4880                           2028                           2703
configuration                   26                10689         1.2500000000000004E+00
        1.1692971655400388E-04         1.2374119490819724E-04         8.4105912499605413E-05         1.3099061565807971E-04
                         10689                           5424                           2367                           2898
configuration                   27                11899         1.3000000000000005E+00
        1.0925040633795162E-04         1.1539021519634678E-04         7.8638234222603825E-05         1.2421897350423794E-04
                         11899                           6028                           2740                           3131
configuration                   28                13162         1.3500000000000005E+00
        1.0256271088566985E-04         1.0822049709538554E-04         7.3312505202789181E-05         1.1866942699377157E-04
                         13162                           6663                           3139                           3360
configuration                   29                14569         1.4000000000000006E+00
        9.6087473308056786E-05         1.0106539474573931E-04         6.8770915359018056E-05         1.1318535318071603E-04
                         14569                           7375                           3596                           3598
configuration                   30                16103         1.4500000000000006E+00
        9.0042589885080238E-05         9.4431700722744549E-05         6.4497624588846073E-05         1.0775984145280714E-04
