               Entry              Nevents                           Time                    Temperature                         Energy                 CO*                  OH*                   OH                  CO2
                   1                    0         0.0000000000000000E+00         1.0275000000000000E+01        -1.2869999999998190E+04                9900                    0                    0                    0
                   2                   53         5.0000000000000003E-02         1.0275000000000000E+01        -1.2840149999998208E+04                9876                    1                  -25                   24
                   3                  118         1.0000000000000001E-01         1.0275000000000000E+01        -1.2797199999998231E+04                9844                    0                  -56                   56
                   4                  175         1.5000000000000002E-01         1.0275000000000000E+01        -1.2763449999998251E+04                9817                    1                  -84                   83
                   5                  242         2.0000000000000001E-01         1.0275000000000000E+01        -1.2725799999998273E+04                9787                    2                 -115                  113
                   6                  351         2.5000000000000000E-01         1.0275000000000000E+01        -1.2660749999998308E+04                9738                    1                 -163                  162
                   7                  479         2.9999999999999999E-01         1.0275000000000000E+01        -1.2594749999998352E+04                9681                    7                 -226                  219
                   8                  622         3.4999999999999998E-01         1.0275000000000000E+01        -1.2510099999998396E+04                9619                    4                 -285                  281
                   9                  799         3.9999999999999997E-01         1.0275000000000000E+01        -1.2415249999998450E+04                9545                    5                 -360                  355
                  10                  985         4.4999999999999996E-01         1.0275000000000000E+01        -1.2328549999998508E+04                9470                   13                 -443                  430
                  11                 1225         4.9999999999999994E-01         1.0275000000000000E+01        -1.2204649999998568E+04                9383                    5                 -522                  517
                  12                 1514         5.4999999999999993E-01         1.0275000000000000E+01        -1.2097499999998645E+04                9285                   20                 -635                  615
                  13                 1825         5.9999999999999998E-01         1.0275000000000000E+01        -1.1959749999998723E+04                9178                   21                 -743                  722
                  14                 2169         6.5000000000000002E-01         1.0275000000000000E+01        -1.1802349999998809E+04                9059                   19                 -860                  841
                  15                 2516         7.0000000000000007E-01         1.0275000000000000E+01        -1.1680699999998889E+04                8954                   30                 -976                  946
                  16                 2993         7.5000000000000011E-01         1.0275000000000000E+01        -1.1483049999998999E+04                8803                   29                -1126                 1097
                  17                 3453         8.0000000000000016E-01         1.0275000000000000E+01        -1.1351549999999097E+04                8679                   51                -1272                 1221
                  18                 3965         8.5000000000000020E-01         1.0275000000000000E+01        -1.1162049999999210E+04                8527                   57                -1430                 1373
                  19                 4589         9.0000000000000024E-01         1.0275000000000000E+01        -1.0946849999999344E+04                8349                   69                -1620                 1551
                  20                 5283         9.5000000000000029E-01         1.0275000000000000E+01        -1.0724449999999466E+04                8180                   67                -1787                 1720
                  21                 6043         1.0000000000000002E+00         1.0275000000000000E+01        -1.0488549999999614E+04                7984                   81                -1997                 1916
                  22                 6839         1.0500000000000003E+00         1.0275000000000000E+01        -1.0267049999999756E+04                7797                   97                -2200                 2103
                  23                 7717         1.1000000000000003E+00         1.0275000000000000E+01        -1.0006949999999899E+04                7599                   95                -2396                 2301
                  24                 8573         1.1500000000000004E+00         1.0275000000000000E+01        -9.7929500000000298E+03                7424                  105                -2581                 2476
                  25                 9611         1.2000000000000004E+00         1.0275000000000000E+01        -9.5572500000002110E+03                7197                  149                -2852                 2703
                  26                10689         1.2500000000000004E+00         1.0275000000000000E+01        -9.3172500000003565E+03                7002                  159                -3057                 2898
                  27                11899         1.3000000000000005E+00         1.0275000000000000E+01        -9.0116500000005253E+03                6769                  157                -3288                 3131
                  28                13162         1.3500000000000005E+00         1.0275000000000000E+01        -8.7234000000006945E+03                6540                  164                -3524                 3360
                  29                14569         1.4000000000000006E+00         1.0275000000000000E+01        -8.4369500000008738E+03                6302                  181                -3779                 3598
