                                                         Overall                                                    OH_adsorption                                                    OH_desorption                                                     CO_oxidation
configuration                    1                    0         0.0000000000000000E+00
        0.0000000000000000E+00         0.0000000000000000E+00         0.0000000000000000E+00         0.0000000000000000E+00
                             0                              0                              0                              0
configuration                    2                  319         1.0000000000000001E-01
        3.1346028440586512E-04         2.9382874683513295E-04         3.3272601692869541E-04         0.0000000000000000E+00
                           319                            158                            161                              0
configuration                    3                  712         2.0000000000000001E-01
        2.8088817184723205E-04         2.8341463766653384E-04         2.7838993469630189E-04         0.0000000000000000E+00
                           712                            354                            358                              0
configuration                    4                 1122         3.0000000000000004E-01
        2.6720981672369288E-04         2.6457077880966779E-04         2.6982077976629221E-04         0.0000000000000000E+00
                          1122                            558                            564                              0
configuration                    5                 1543         4.0000000000000002E-01
        2.5919277944276716E-04         2.5856411459828911E-04         2.5980933905917522E-04         0.0000000000000000E+00
                          1543                            764                            779                              0
configuration                    6                 2046         5.0000000000000000E-01
        2.4437748098898713E-04         2.3777414128538942E-04         2.5091658587056599E-04         0.0000000000000000E+00
                          2046                           1018                           1028                              0
configuration                    7                 2550         5.9999999999999998E-01
        2.3520237737898015E-04         2.2935359074413157E-04         2.4098729270892450E-04         0.0000000000000000E+00
                          2550                           1268                           1282                              0
configuration                    8                 3113         6.9999999999999996E-01
        2.2485343730902413E-04         2.1870824370383253E-04         2.3091627669232097E-04         0.0000000000000000E+00
                          3113                           1546                           1567                              0
configuration                    9                 3705         7.9999999999999993E-01
        2.1592347832775108E-04         2.1115739643608016E-04         2.2066134337291564E-04         0.0000000000000000E+00
                          3705                           1847                           1858                              0
configuration                   10                 4310         8.9999999999999991E-01
        2.0879197870750778E-04         2.0494436076676120E-04         2.1260405283355930E-04         0.0000000000000000E+00
                          4310                           2145                           2165                              0
configuration                   11                 5100         9.9999999999999989E-01
        1.9598962458373075E-04         1.9230161973878237E-04         1.9962307739126832E-04         0.0000000000000000E+00
                          5100                           2531                           2569                              0
configuration                   12                 5942         1.0999999999999999E+00
        1.8510509899782564E-04         1.8109137444294936E-04         1.8907582416008214E-04         0.0000000000000000E+00
                          5942                           2955                           2987                              0
configuration                   13                 6941         1.2000000000000000E+00
        1.7287600949406680E-04         1.6967818070361403E-04         1.7603446066768433E-04         0.0000000000000000E+00
                          6941                           3449                           3492                              0
configuration                   14                 7918         1.3000000000000000E+00
        1.6417312271192617E-04         1.6159023433973986E-04         1.6673004588308541E-04         0.0000000000000000E+00
                          7918                           3939                           3979                              0
configuration                   15                 8999         1.4000000000000001E+00
        1.5556363510949020E-04         1.5323451380852535E-04         1.5786855373498617E-04         0.0000000000000000E+00
                          8999                           4476                           4523                              0
configuration                   16                10202         1.5000000000000002E+00
        1.4702698563768144E-04         1.4561875833903417E-04         1.4841058400961310E-04         0.0000000000000000E+00
                         10202                           5056                           5146                              0
configuration                   17                11527         1.6000000000000003E+00
        1.3880164102993820E-04         1.3762530789106388E-04         1.3995794028256640E-04         0.0000000000000000E+00
                         11527                           5714                           5813                              0
configuration                   18                13057         1.7000000000000004E+00
        1.3018830632721719E-04         1.2904226772171364E-04         1.3131295453082758E-04         0.0000000000000000E+00
                         13057                           6467                           6590                              0
configuration                   19                14643         1.8000000000000005E+00
        1.2292207897613997E-04         1.2196608575530220E-04         1.2385855685611687E-04         0.0000000000000000E+00
                         14643                           7246                           7397                              0
configuration                   20                16392         1.9000000000000006E+00
        1.1590020733155744E-04         1.1522715609737353E-04         1.1655911985817805E-04         0.0000000000000000E+00
                         16392                           8109                           8283                              0
configuration                   21                18217         2.0000000000000004E+00
        1.0978561234293869E-04         1.0918649781417813E-04         1.1036997963704019E-04         0.0000000000000000E+00
                         18217                           8995                           9222                              0
configuration                   22                20285         2.1000000000000005E+00
        1.0352303455946341E-04         1.0290235792613350E-04         1.0413009322667961E-04         0.0000000000000000E+00
                         20285                          10030                          10255                              0
configuration                   23                22507         2.2000000000000006E+00
        9.7744591720280431E-05         9.7430680183686902E-05         9.8050326469787454E-05         0.0000000000000000E+00
                         22507                          11105                          11402                              0
configuration                   24                24893         2.3000000000000007E+00
        9.2394759440656124E-05         9.2105006737525509E-05         9.2676952978032795E-05         0.0000000000000000E+00
                         24893                          12282                          12611                              0
configuration                   25                27531         2.4000000000000008E+00
        8.7171176183976638E-05         8.7022712639045331E-05         8.7315481771306903E-05         0.0000000000000000E+00
                         27531                          13570                          13961                              0
configuration                   26                30263         2.5000000000000009E+00
        8.2609049049075912E-05         8.2583909465449082E-05         8.2633347324913560E-05         0.0000000000000000E+00
                         30263                          14874                          15389                              0
configuration                   27                33187         2.6000000000000010E+00
        7.8343747534070105E-05         7.8337382424175503E-05         7.8349895835825746E-05         0.0000000000000000E+00
                         33187                          16306                          16881                              0
configuration                   28                36168         2.7000000000000011E+00
        7.4649890403893801E-05         7.4653621432786311E-05         7.4646284736598045E-05         0.0000000000000000E+00
                         36168                          17775                          18393                              0
configuration                   29                39228         2.8000000000000012E+00
        7.1375797370398536E-05         7.1477516424017461E-05         7.1277774969576185E-05         0.0000000000000000E+00
                         39228                          19251                          19977                              0
configuration                   30                42501         2.9000000000000012E+00
