               Entry              Nevents                           Time                    Temperature                         Energy                 CO*                  OH*                   OH                  CO2
                   1                    0         0.0000000000000000E+00         1.0500000000000000E+01        -3.3695999999998544E+03                   0                 2496                    0                    0
                   2                  319         1.0000000000000001E-01         1.0494999999999999E+01        -3.3655499999998547E+03                   0                 2493                    3                    0
                   3                  712         2.0000000000000001E-01         1.0490000000000000E+01        -3.3641999999998548E+03                   0                 2492                    4                    0
                   4                 1122         3.0000000000000004E-01         1.0484999999999999E+01        -3.3614999999998549E+03                   0                 2490                    6                    0
                   5                 1543         4.0000000000000002E-01         1.0480000000000000E+01        -3.3493499999998558E+03                   0                 2481                   15                    0
                   6                 2046         5.0000000000000000E-01         1.0475000000000000E+01        -3.3560999999998553E+03                   0                 2486                   10                    0
                   7                 2550         5.9999999999999998E-01         1.0470000000000001E+01        -3.3506999999998557E+03                   0                 2482                   14                    0
                   8                 3113         6.9999999999999996E-01         1.0465000000000000E+01        -3.3412499999998563E+03                   0                 2475                   21                    0
                   9                 3705         7.9999999999999993E-01         1.0460000000000001E+01        -3.3547499999998554E+03                   0                 2485                   11                    0
                  10                 4310         8.9999999999999991E-01         1.0455000000000000E+01        -3.3425999999998562E+03                   0                 2476                   20                    0
                  11                 5100         9.9999999999999989E-01         1.0449999999999999E+01        -3.3182999999998578E+03                   0                 2458                   38                    0
                  12                 5942         1.0999999999999999E+00         1.0445000000000000E+01        -3.3263999999998573E+03                   0                 2464                   32                    0
                  13                 6941         1.2000000000000000E+00         1.0440000000000000E+01        -3.3115499999998583E+03                   0                 2453                   43                    0
                  14                 7918         1.3000000000000000E+00         1.0435000000000000E+01        -3.3155999999998580E+03                   0                 2456                   40                    0
                  15                 8999         1.4000000000000001E+00         1.0430000000000000E+01        -3.3061499999998587E+03                   0                 2449                   47                    0
                  16                10202         1.5000000000000002E+00         1.0425000000000001E+01        -3.2480999999998626E+03                   0                 2406                   90                    0
                  17                11527         1.6000000000000003E+00         1.0420000000000000E+01        -3.2359499999998634E+03                   0                 2397                   99                    0
                  18                13057         1.7000000000000004E+00         1.0414999999999999E+01        -3.2035499999998656E+03                   0                 2373                  123                    0
                  19                14643         1.8000000000000005E+00         1.0410000000000000E+01        -3.1657499999998681E+03                   0                 2345                  151                    0
